Listed ticketer,GICS Sector,GICS Sub Industry,Category & Note,Sectcor
ECL,Materials,Specialty Chemicals,63,8
EMN,Materials,Diversified Chemicals,63,8
IFF,Materials,Specialty Chemicals,63,8
MON,Materials,Fertilizers & Agricultural Chemicals,63,8
PPG,Materials,Diversified Chemicals,63,8
PX,Materials,Industrial Gases,63,8
SHW,Materials,Specialty Chemicals,63,8
SIAL,Materials,Specialty Chemicals,63,8
BMS,Materials,Containers & Packaging,64,8
MWV,Materials,Containers & Packaging,64,8
PTV,Materials,Containers & Packaging,64,8
AKS,Materials,steel company,66,8
NUE,Materials,Steel,66,8
TIE,Materials,Iron & Steel,66,8
X,Materials,Iron & Steel,66,8
AVY,Materials,Paper Packaging,68,8
IP,Materials,Paper Products,68,8
SEE,Materials,Paper Packaging,68,8
VMC,Materials,Construction Materials,99,8
CTL,Telecommunications Services,Integrated Telecommunications Services,70,9
EQ,Telecommunications Services,Telecom Carriers,70,9
FTR,Telecommunications Services,Integrated Telecommunications Services,70,9
Q,Telecommunications Services,Telecom Carriers,70,9
S,Telecommunications Services,Telecom Carriers,70,9
T,Telecommunications Services,Integrated Telecommunications Services,70,9
VZ,Telecommunications Services,Integrated Telecommunications Services,70,9
WIN,Telecommunications Services,Telecom Carriers,70,9
AEE,Utilities,MultiUtilities,71,10
AEP,Utilities,Electric Utilities,71,10
AES,Utilities,Independent Power Producers & Energy Traders,71,10
AYE,Utilities,Electric Utilities,71,10
CEG,Utilities,MultiUtilities,71,10
CMS,Utilities,MultiUtilities,71,10
CNP,Utilities,MultiUtilities,71,10
D,Utilities,Electric Utilities,71,10
DTE,Utilities,MultiUtilities,71,10
DUK,Utilities,Electric Utilities,71,10
DYN,Utilities,Electric Utilities,71,10
ED,Utilities,Electric Utilities,71,10
EIX,Utilities,Electric Utilities,71,10
ETR,Utilities,Electric Utilities,71,10
EXC,Utilities,MultiUtilities,71,10
FE,Utilities,Electric Utilities,71,10
GAS,Utilities,Gas Utilities,71,10
NI,Utilities,MultiUtilities,71,10
PCG,Utilities,MultiUtilities,71,10
PEG,Utilities,Electric Utilities,71,10
PGN,Utilities,Electric Utilities,71,10
PNW,Utilities,MultiUtilities,71,10
POM,Utilities,Electric Utilities,71,10
PPL,Utilities,Electric Utilities,71,10
SCG,Utilities,MultiUtilities,71,10
SO,Utilities,Electric Utilities,71,10
SRE,Utilities,MultiUtilities,71,10
TE,Utilities,Electric Utilities,71,10
WEC,Utilities,Electric Utilities,71,10
XEL,Utilities,MultiUtilities,71,10
NU,Utility,Utility Networks,73,11
STR,Utility,Utility Networks,73,11
TEG,Utility,Utility Networks,73,11
RX,,,99,99
WYE,,,99,99
